title,author,final_price,jumlah halaman,penerbit,tanggal terbit,berat,isbn,lebar,bahasa,panjang,image_url,description,affiliate_url
Machine Learning dengan Python dengan Contoh Pengaplikasian di Bidang Medis,Hanna Arini Parhusip,Rp 144.000,360,Penerbit Andi,"March 25, 2024",0.578,9786230137402,19.0,,,https://cdn.gramedia.com/uploads/picture_meta/2024/5/11/rhgxpmpdtqt5ogyjgffs9t.jpg,"Buku berjudul Machine Learning dengan Python - dengan Contoh Pengaplikasian di Bidang Medis ini ditujukan bagi pemula dalam penggunaan Machine Learning. Oleh karena itu, pada Bab 1 menjelaskan bagaimana Machine Learning dibuat, kapan memerlukan Machine Learning, dan cara kerja Machine Learning. Demikian pula, beberapa contoh klasik juga ditunjukkan dengan Python agar pembaca dapat segera melakukan coding sekalipun masih membaca Bab 1. Klasifikasi dan regresi merupakan pemodelan utama dalam menggunakan Machine Learning. Bab 2 ditunjukkan salah satu metode dalam klasifikasi, yaitu klasifikasi K-Means. 

Pada 2 bab pertama, pembaca lebih banyak bekerja dengan data numerik. Padahal data text sekarang juga banyak terjadi, misalnya pada Twitter dan kita ingin melakukan analisis. Bab 3 akan ditunjukkan bagaimana pembaca melakukan pengolahan data text, misalkan mengklasifikasi e-mail spam atau non-spam sebagai contoh klasik dalam hal ini. Selanjutnya, salah satu metode sangat sarat dengan matematika ditunjukkan pada Bab 4 yang menjelaskan metode Support Vector Machine (SVM) sebagai salah satu metode di Machine Learning. Selain SVM, metode yang menarik untuk dipelajari adalah Decision Tree dan Random Forest yang dituliskan pada Bab V. Buku ini juga didedikasikan untuk melakukan penelitian Covid-19 dengan Machine Learning maka pada Bab VI ditunjukkan beberapa aplikasi Machine Learning dengan pengolahan data Covid-19.

Tahun Terbit : Cetakan I, 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.",https://aff.gramedia.com/s/OmZNVllYjT
Membangun Aplikasi Berbasis Data dengan Python,Jubilee Enterprise,Rp 60.000,232.0,Elex Media Komputindo,"September 25, 2022",0.21,9786230035623,14.0,Indonesia,21.0,https://cdn.gramedia.com/uploads/items/9786230035623_COVER_Membangun_Aplikasi_Berbasis_Data_dengan_Python.jpg,"Buku Membangun Aplikasi Berbasis Data dengan Python ini akan memberikan berbagai informasi yang bisa Anda gunakan dalam mempelajari bagaimana cara membangun aplikasi berbasis data dengan menggunakan phyton. Semua tool yang dibahas di dalam buku ini, seperti PyCharm, Visual Studio Code, Python, MySQL, dan layanan Firebase dapat digunakan secara gratis. Setelah membaca buku ini, Anda bisa membuat aplikasi-aplikasi berbasis data dengan menggunakan SQL maupun NoSQL.
Sinopsis buku
Database dapat dibagi dalam dua arus utama, yaitu SQL dan NoSQL. Di dalam buku ini, Anda akan mempelajari langkah-langkah membuat aplikasi berbasis data menggunakan Python, SQL, dan NoSQL. Untuk men-develop aplikasi berbasis database SQL, akan digunakan MySQL, sedangkan untuk NoSQL akan menggunakan Firebase. Pembahasan di dalam buku ini mulai dari pengenalan konsep database menggunakan MySQL dan juga NoSQL, termasuk di dalamnya istilah-istilah kunci seperti Table, Collection, Document, tipe data, dan lain sebagainya. Kemudian, Anda akan mempelajari berbagai macam package penting, seperti Firestore, auth, dan juga Pyrebase. Ilmu yang ditawarkan sangat penting untuk lingkup analisis data di masa depan. Oleh karena itu, Anda perlu mempelajari berbagai teknik coding untuk bekerja dengan MySQL dan Firebase. 
Informasi lain:
Cover: soft cover
Tebal: 232 halaman
ISBN: 9786230035623
Berat: 0.21 kg
Dimensi: 14 x 21 cm
Kategori: komputer, teknologi, manajemen, database",https://aff.gramedia.com/s/IokCUEsOFT
Python: Bahasa Pemrograman Era Digital,"I Gusti Ngurah Suryantara, S.kom., M.kom.",Rp 120.000,504,Elex Media Komputindo,"January 13, 2024",0.5,9786230056055,14,Indonesia,21,https://cdn.gramedia.com/uploads/picture_meta/2024/1/14/8ajgy9rian2cvqv7myu4rj.jpg,"Algoritma dan Pemrograman merupakan fondasi awal dan penting dalam bidang informatika, sistem informasi, ilmu komputer, data science, bisnis digital, dan lainnya. Anda harus memiliki pemahaman yang utuh dan menyeluruh dalam membangun konsep berpikir secara algoritmik. Untuk itu, perlu bahan kajian (bahan ajar) atau buku referensi yang dirancang secara sistematis, dinamis, dan adaptif sesuai perkembangan zaman untuk menghadapi globalisasi di era industri 4.0 dan society 5.0. 

Materi buku ini mengajak Anda untuk menyelami konsep penulisan algoritma, tipe data, struktur kontrol, tipe data statis dan dinamis, pengurutan data, pencarian data, konsep pemrograman berorientasi objek, dan visualisasi data. Buku ini sangat sesuai untuk bahan ajar perkuliahan seperti: Algoritma, Dasar-dasar Pemrograman, Pengantar Data Science, Pemrograman Berorientasi Objek, Dasar-Dasar Visualisasi Data, dan lainnya. Selain itu, buku ini juga sangat sesuai untuk Anda yang sedang menekuni bahasa pemrograman Python sebagai dasar-dasar untuk mengembangkan aplikasi. 

Pembahasan dalam buku mencakup: 
• Pengantar Algoritma. 
• Jenis-jenis Tipe Data di Python. 
• Sistem Kontrol (Berurutan, Percabangan, dan Perulangan). 
• Prosedur, Fungsi, Fungsi Rekursif. 
• Tipe Data Statis (Array). 
• Tipe Data Dinamis (List, Tuple, Data Set, Dictionary). 
• Manipulasi String, Exception. 
• Operasi File, Datetime. 
• Pengurutan dan Pencarian Data. 
• Konsep Pemrograman Berorientasi Objek. 
• Dasar-Dasar Visualisasi Data.

Selling Point:
Untuk Implementasi Algoritmik dalam Era Industri 4.0 dan Society 5.0",https://aff.gramedia.com/s/PvIbzlDyjh
Pemrograman Graphical User Interface Menggunakan Python & PySimpleGUI,ABDUL KADIR,Rp 135.000,532,Elex Media Komputindo,"October 3, 2023",0.5,9786230050206,3.0,,14.0,https://cdn.gramedia.com/uploads/picture_meta/2023/9/26/jyxjucgvhmbfsxqjzszm3z.jpg,"Sinopsis Buku:
Buku ini mengupas pemrograman Graphical User Interface (GUI) menggunakan Python dan PySimpleGUI. Semua dasar GUI dibahas dengan pendekatan yang mudah dipahami, disertai banyak contoh soal untuk dipraktikkan. Oleh karena itu, siapa pun dapat mempelajari pemrograman GUI dengan mudah dan cepat. Materi yang dibahas, meliputi: • Pengenalan Python dan PySimpleGUI • Instalasi PySimpleGUI dan Pengujian • Eksplorasi Elemen Tombol • Operasi Masukan dan Keluaran • Eksplorasi Tombol Radio dan Checkbox • Eksplorasi Combo, Listbox, dan Option Menu • Eksplorasi Slider dan ProgressBar • Eksplorasi Wadah Elemen • Penggunaan Garis Pemisah, Sizer, Sizegrip, StatusBar, dan Fungsi Pin • Pengenalan Table dan Tree • Eksplorasi Menu • Penggunaan Image, Canvas, dan Graph • Eksplorasi Window • Pembuatan Program .EXE

Selling Point:
• Disertai Cara Membentuk Berkas .EXE  • Contoh Skrip dan Jawaban Soal Dapat Diunduh Gratis

Profil Penulis:
Abdul Kadir adalah penulis senior yang telah menghasilkan puluhan buku di bidang Teknologi Informasi, terutama mengenai pemrograman komputer. Sambil berbagi pengetahuan melalui buku dan artikel di dunia maya, dia aktif melakukan berbagai riset tentang bahasa-bahasa pemrograman dan aplikasinya. Ketika senggang, dia meluangkan waktu untuk berkebun atau mengambil gambar tentang alam dan sekitarnya. Dia dapat dihubungi melalui akadir64@gmail.com untuk memberikan masukan terkait tulisannya.",https://aff.gramedia.com/s/brOgiQxGNf
Python untuk Analisis dan Visualisasi Data,Jubilee Enterprise,Rp 60.000,208,Elex Media Komputindo,"January 19, 2023",0.2,9786230045561,14,Indonesia,21,https://cdn.gramedia.com/uploads/picture_meta/2023/1/17/sevge26s2yhsk37siipsld.jpg,"Profesi yang berhubungan erat dengan data memiliki prospek masa depan yang cerah. Salah satunya adalah analisis data yang bertugas untuk mengambil data, melakukan pengolahan, dan menganalisis berdasarkan kebutuhan-kebutuhan tertentu. Kemudian, data yang telah dianalisis itu bisa divisualisasikan untuk keperluan presentasi. Apabila profesi analisis data benar-benar Anda minati, maka mulailah membaca buku ini. Dengan menggunakan Python, Anda akan belajar cara menggunakan kode-kode program untuk mengolah data dari berbagai macam sumber, mulai dari list, Series, DataFrame, file CSV, hingga file MS Excel. Pembahasan di dalam buku ini meliputi: • Menggunakan Pandas untuk bekerja dengan list, Series, DataFrame, dan file CSV. • Menggunakan Matplotlib untuk membuat berbagai model chart. • Menggunakan Plotly untuk membuat berbagai model chart. • Menggunakan Openpyxl untuk mengintegrasikan data pada file MS Excel dengan Python, termasuk membuat chart.

Profil Penulis:
Jubilee Enterprise, telah dipercaya oleh penerbit dan pembaca buku tanah air dalam satu dasawarsa ini. Hingga sekarang, tulisan-tulisannya yang diterbitkan dalam bentuk buku telah mencapai hampir 400 judul, sebagian besar bertema teknologi informasi dan kemudian disusul dengan tema psikologi & parenting, manajemen, fotografi, anak-anak, dan tema umum lainnya. Salah satu imprint Jubilee Enterprise adalah Jubilee Authors Companion yang merupakan sahabat bagi para penulispenulis profesional yang ingin tetap berkarya. Anda dapat memperoleh informasi lebih lanjut tentang Jubilee Enterprise lewat situs: www.thinkjubilee.com.",https://aff.gramedia.com/s/QTRmsowiUq
Belajar Pemrograman dan Hacking Menggunakan Python,Wardana,Rp 58.500,264.0,Elex Media Komputindo,"December 22, 2019",0.3,9786230010507,14.0,Indonesia,21.0,https://cdn.gramedia.com/uploads/items/9786230010507_Belajar_Pemrograman_dan_Hacking_Menggunakan_Python.jpg,"Python adalah salah satu bahasa pemrograman yang populer digunakan untuk membuat berbagai macam program, seperti program CLI, program GUI (desktop), aplikasi mobile, Web, loT, game, program untuk hacking, dan sebagainya. Python telah dikenal sebagai bahasa pemrograman yang banyak digunakan oleh hacker. Buku ini menjadi penengah, cara membuat aplikasi hacking menggunakan bahasa pemrograman Python. Buku ini juga mengajarkan dasar-dasar pemrograman Python hingga cara membuat aplikasi jaringan/hacking menggunakan bahasa pemrograman Python sehingga dapat menjadi panduan belajar Python bagi pemula. Dalam meningkatkan kemampuan pembaca maka buku ini mengutamakan cara untuk melakukan hacking, termasuk cara kerja metode hacking yang terkenal, seperti sql injection, google hacking, cross-site request forgecy (CSRF), cara membuat port scanner, dan ping sweep dengan Python. Dari aspek cyber security, buku ini mengutamakan pula dasar-dasar persandian (kriptografi), penyembunyian pesan rahasia (steganografi), serta lengkap dengan script Python-nya. 

Pembahasan dalam buku sendiri mencakup:

1. Dasar-dasar pemrograman Python
2. Dasar-dasar internet dan pemrograman Python
3. Dasar-dasar kriptografi dan steganografi
4. Teknik hacking
5. Cara membuat script hacking dengan Python
6. Cyber crime dan cyber security

Informasi Buku
Penulis   : Wardana
Penerbit  : Elex Media Komputindo
Jumlah Halaman : 264 halaman
Tanggal Terbit : 23 Desember 2019
Bahasa   : Indonesia
ISBN   : 9786230010507
SKU   : 719051603
Width   : 14 cm
Height   : 21 cm
Weight   : 0,3 kg
Jenis Cover  : Soft cover",https://aff.gramedia.com/s/UXhdkafhcn
Kursus Mandiri Python,Budi Raharjo,Rp 160.000,550.0,Penerbit Informatika,"July 8, 2022",0.59,9786237131632,16.0,Indonesia,24.0,https://cdn.gramedia.com/uploads/items/python-dpn.jpg,"Deskripsi
Python merupakan bahasa pemrograman multifungsi yang dapat digunakan untuk membuat berbagai jenis program, seperti program layanan (service) yang ditempatkan di mesin server, program desktop, program berbasis web, maupun program antarmuka untuk mengontrol jalannya perangkat keras tertentu. Kesederhanaan sintaks dan kelengkapan pustaka yang dimiliki Python menjadikan bahasa ini semakin populer dan digemari oleh para programmer sebagai alat bantu untuk menyelesaikan tugas-tugas pemrograman tertentu.

Buku ini menjelaskan tentang konsep-konsep inti yang dibutuhkan dalam pemrograman Python. Pembahasan dilakukan secara bertahap mulai dari dasar agar seluruh materi dapat dipahami dengan mudah. Dengan memahami seluruh materi yang disampaikan dalam buku ini, Anda akan mampu berkreasi dalam menciptakan program-program yang sesuai dengan kebutuhan, baik program database maupun non-database. Buku ini ditujukan untuk siapa saja yang ingin menjadi programmer Python dalam waktu yang relatif singkat.

Daftar isi
Bab 1 Logika-logika dasar pemrograman
Bab 2 Sintaks atau aturan penulisan kode di dalam Python
Bab 3 Konsep pemrograman berorientasi objek
Bab 4 Penggunaan pustaka standar yang sering dibutuhkan dalam pembuatan program
Bab 5 Pembuatan database dan pengolahan data menggunakan SQL di dalam MySQL
Bab 6 Mengintegrasikan database MySQL dengan program yang ditulis menggunakan Python
Bab 7 Merancang dan membangun user-interface menggunakan pustaka PyQ

Informasi lain :
Panjang : 24 cm
Lebar : 16 cm
Berat : 0.59 kg
Isi : 550 halaman
ISBN : 9786237131632
Pengarang : Budi Raharjo
Penerbit : Penerbit Informatika
Terbit : 09 Juli 2022
Bahasa : Indonesia
Bentuk karya : Bukan fiksi
Status : Aktif",https://aff.gramedia.com/s/jVEafpjrJU
Mudah Belajar Python Untuk Aplikasi Desktop Dan Web,Budi Raharjo,Rp 140.000,616.0,Informatika,"November 11, 2020",0.65,9786237131,16.0,Indonesia,24.0,https://cdn.gramedia.com/uploads/items/mudah_belajar_python_GqisvcF.jpg,"Apakah kamu tahu jika sebagian besar aplikasi sehari-hari yang sering kita gunakan menggunakan python? Nah, beberapa aplikasi seperti instagram, pinterest, spotify, dan dropbox menggunakan python digunakan sebagai kinerja untuk memperlancar aplikasinya. 

Python merupakan bahasa pemrograman yang paling populer, karena sangat sederhana. Python ini juga dapat digunakan untuk membuat aplikasi, perintah komputer, dan melakukan analisis data. Python menjadi sangat populer, sejak awal kemunculannya di era 1990-an, Python ini masuk ke dalam bahasa pemrograman yang paling sering digunakan di berbagai industri. Survei dari RedMonk mengatakan bahwa python masuk sebagai peringkat kedua sebagai bahasa pemrograman favorit para developer pada tahun 2021-sekitar 30 tahun sejak peluncurannya. 

Sinopsis 

Python adalah bahasa pemrograman multi-platform yang bersifat free dan open-source, dan dapat digunakan untuk mengembangkan aplikasi-aplikasi desktop maupun web. Python memiliki pustaka standar (Python Standard Library) yang sangat lengkap sehingga dapat memenuhi berbagai macam permasalahan-permasalahan riil di dalam dunia pemrograman, sebagai alternatif dari bahasa-bahasa pemrograman lain seperti C, C++, Java, PHP, dll. Untuk kepentingan yang spesifik, kode Python juga dapat diintegrasikan dengan pustaka lain yang ditulis dalam bahasa C, C++, Java (melalui Jython), dan bahasa-bahasa .NET seperti Visual Basic dan C# (melalui IronPython).

DETAIL  
Format         : Soft Cover  
Penulis         : Budi Raharjo
Jumlah Halaman     : 616
Penerbit         : Informatika
Tanggal Terbit     : 12 November 2020
ISBN             : 9786237131
Berat             : 0.65 kg
Panjang         : 24.0 cm
Lebar             : 16.0 cm
Bahasa         : Indonesia",https://aff.gramedia.com/s/ICOgIlvZVn
Kumpulan Solusi Pemrograman Python Edisi Revisi,Budi Raharjo,Rp 120.000,554.0,Informatika,"November 13, 2019",0.582,9786237131144,16.0,Indonesia,24.0,https://cdn.gramedia.com/uploads/items/img029_MV88GwT.jpg,"Sinopsis
Penggunaan teknologi sekarang ini hampir menyentuh segala lini baik di industri, kesehatan, perbankan, pemerintahan, dan masih banyak yang lainnya. Teknologi yang berkembang ini tidak terlepas dari penggunaan bahasa pemrograman yang banyak pilihannya seperti C++, Python, R, php, dan sebagainya. Salah satunya adalah pemrograman Phyton. Kali ini, di buku karya xxx yang berjudul xxx, Phyton akan dibahas secara detail untuk memberikan ilmu serta gambaran mengenai pemrograman Phyton. Buku yang cocok digunakan oleh siapa saja yang ingin mempelajari pemrograman R. ython adalah sebuah bahasa pemrograman yang digunakan untuk membuat aplikasi, perintah komputer, dan melakukan analisis data. Sebagai general-purpose language, Python bisa digunakan untuk membuat program apa saja dan menyelesaikan berbagai permasalahan. Selain itu, Python juga dinilai mudah untuk dipelajari walau termasuk bahasa pemrograman tingkat tinggi.

Buku ini membahas dasar-dasar pemrograman seperti variabel, konstanta, ekspresi, hingga skrip. Tidak lupa berbagai struktur data yang mencakup vektor, kerangka data, senarai, matriks, dan larik ikut dikupas. Buku ini juga membahas cara memroses string, grafik, dan bahkan gambar. Banyak contoh yang diberikan dan mudah untuk dimengerti. Dengan mempraktekkannya, siapapun dapat mempelajari bahasa Phyton dengan cepat dan mudah.

Dalam mempelajari Phyton dengan berbagai kasus yang telah disediakan di dalam buku ini, tentu membutuhkan waktu yang tidak sedikit dan harus konsisten. Apalagi untuk pemula seringkali akan menemui kesulitan karena belum terbiasa. Jika ingin menjadi data scientist, maka skill pemrograman phyton wajib dikuasai. Buku Ini akan membuka banyak peluang dan membantu anda memahami pemrograman Phyton karena banyak diterapkan di perusahaan. 

Informasi Lainnya
Judul: Kumpulan Solusi Pemrograman Python Edisi Revisi
Cerita: Budi Raharjo
Tebal: 554 Halaman
Tanggal terbit: November 2019
Format: Soft Cover
Seri Lainnya",https://aff.gramedia.com/s/hgYgRdiDRM
Mudah dan Cepat Membuat Program Skripsi dan TA dengan Python,Unknown,Not available,,Elex Media Komputindo,,,,,,,https://cdn.gramedia.com/uploads/items/9786230026768_Cov_Mudah_dan_Cepat_Membuat_Program_Skripsi_dan_TA_dengan_Python.jpg,"Python adalah bahasa pemrograman yang terlihat sederhana namun cukup sulit untuk dipelajari. Perangkat lunak mengakomodasi semua tingkat programmer dari pemula hingga programmer tingkat lanjut. 

Python juga sangat bermanfaat dalam menciptakan program untuk menunjang Tugas Akhir atau skripsi. Buku Mudah dan Cepat Membuat Program Skripsi dan TA dengan Python akan membantu Anda dalam memahami serba-serbi Python dalam membuat program sederhana. 

Sinopsis Buku

Jangan lewatkan buku Mudah dan Cepat Membuat Program Skripsi dan TA dengan Python! Buku ini merupakan buku yang akan memandu Anda dalam membuat program Python untuk Skripsi dan TA (Tugas Akhir) dengan cepat dan mudah. 

Dalam buku ini, penulis juga memberikan hasil perancangan database menggunakan ERD dan normalisasi agar pembaca dapat dengan mudah menemukan hubungan antar entitas atau tabel. Penulis juga menyediakan persiapan, instalasi, dan pengaturan perangkat lunak yang lengkap dan terperinci dalam kode program Python. 

Daftar Isi
Persiapan Perangkat Lunak Python 
Perancangan Database 
Membuat Database dan tabel 
Program Sederhana GUI dengan Python 
Program Mencari Data Tabel GUI 
Program Melihat Data Tabel GUI
Program Menyimpan Data ke tabel GUI 
Program Mengedit Data Tabel GUI 
Program Menghapus Data Tabel GUI 
Program CUD (Create-Update-Delete) Data Tabel GUI 
Program Transaksi Data Tabel GUI 
Program Laporan GUI 
Menu Program 
dan Lain-lain.

Bonus dalam paket: 
-

Informasi lain: 
Format: Soft Cover
Penulis: Yuniar Supardi
Tanggal terbit: 9 Juni 2021
ISBN: 9786230026768
Penerbit: Elex Media Komputindo
Jumlah halaman: 232
Bahasa: Indonesia
Genre: Komputer, Teknologi
Berat: 0.207 kg
Lebar: 14.0 cm
Panjang: 21.0 cm",https://aff.gramedia.com/s/bFmPfZAXqG
